'Index';'Force [N]';'Crosshead [mm]';'epsXX [%]';'epsYY [%]'
190;3447,013855;1,209431;-0,003652;0,132219
191;3471,343994;1,214237;-0,002643;0,135866
192;3494,400024;1,222239;-0,001059;0,135820
193;3521,293640;1,228638;-0,002885;0,136370
194;3544,349670;1,236649;-0,001704;0,137180
195;3568,679810;1,243048;-0,002879;0,137688
196;3595,573425;1,251049;-0,000310;0,139120
197;3619,911194;1,254253;-0,005226;0,138527
198;3644,241333;1,260662;-0,004252;0,140149
199;3667,297363;1,270266;-0,000977;0,142248
200;3694,190979;1,275063;-0,006149;0,144173
201;3719,802856;1,281471;-0,000151;0,150143
202;3745,422363;1,286268;-0,004061;0,146255
203;3769,752502;1,295881;0,003155;0,148848
204;3795,364380;1,300678;0,000859;0,148864
205;3819,702148;1,308689;-0,004702;0,148939
206;3847,877502;1,315088;-0,002888;0,148930
207;3870,925903;1,321497;-0,005094;0,149230
208;3896,545410;1,329498;-0,003254;0,153694
209;3922,157288;1,334295;-0,001453;0,153637
210;3947,769165;1,342306;-0,001218;0,152478
211;3975,952148;1,348705;-0,003429;0,154725
212;4000,282288;1,355114;-0,005544;0,153232
213;4027,175903;1,361513;-0,002177;0,156362
214;4051,513672;1,367922;-0,004503;0,158075
215;4077,125549;1,375923;-0,001400;0,158945
216;4104,019165;1,382322;-0,002802;0,159942
217;4129,631042;1,387129;-0,002255;0,160118
218;4159,088135;1,395130;-0,001732;0,160654
219;4182,144165;1,401539;-0,008227;0,160812
220;4209,037781;1,409540;-0,005639;0,161244
221;4235,931396;1,415949;-0,002232;0,164995
222;4262,832642;1,420746;-0,003962;0,166887
223;4289,726257;1,428757;-0,004387;0,165064
224;4316,619873;1,435156;-0,001803;0,166752
225;4346,076965;1,441565;-0,004293;0,170208
226;4371,688843;1,449566;-0,004499;0,169330
227;4398,582458;1,454363;-0,005696;0,170411
228;4425,483704;1,462374;-0,004379;0,172309
229;4452,377319;1,467171;-0,003948;0,171698
230;4480,552673;1,473579;-0,005500;0,173057
231;4506,164551;1,481581;-0,017201;0,172609
232;4533,058167;1,487989;-0,005126;0,174921
233;4559,951782;1,492786;-0,006597;0,177581
234;4588,134766;1,500797;-0,004121;0,176868
235;4616,310120;1,507196;-0,009665;0,179721
236;4643,203735;1,513596;-0,004038;0,179419
237;4671,379089;1,520004;-0,005910;0,177385
238;4698,272705;1,528006;-0,008013;0,182004
239;4725,166321;1,534414;-0,004480;0,184531
240;4752,059937;1,540813;-0,004117;0,180791
241;4781,517029;1,548824;-0,004893;0,185260
242;4809,692383;1,553621;-0,005267;0,186523
243;4835,311890;1,561623;-0,005045;0,184656
244;4863,487244;1,568031;-0,002042;0,186636
245;4891,662598;1,574430;-0,004092;0,189229
246;4918,556213;1,580839;-0,004073;0,190929
247;4946,731567;1,588840;-0,008681;0,191251
248;4976,188660;1,595249;-0,005615;0,191846
249;5003,082275;1,600046;-0,003657;0,194198
250;5031,257629;1,606455;-0,005697;0,194347
251;5060,714722;1,614456;-0,005840;0,194902
252;5087,608337;1,620865;-0,007399;0,195796
253;5115,783691;1,627264;-0,007969;0,197998
254;5143,959045;1,633663;-0,007381;0,198637
255;5173,416138;1,641674;-0,003415;0,199549
256;5201,591492;1,648073;-0,007888;0,200431
257;5231,048584;1,656084;-0,013810;0,202032
258;5257,949829;1,659279;-0,005066;0,204199
259;5288,681030;1,668892;-0,004976;0,204337
260;5315,574646;1,675291;-0,004544;0,206040
261;5343,757629;1,683292;-0,006330;0,206724
262;5374,488831;1,688099;-0,008145;0,207647
263;5403,945923;1,696100;-0,005171;0,209725
264;5430,839539;1,700907;-0,004712;0,211165
265;5461,578369;1,707306;-0,007341;0,211315
266;5489,753723;1,715317;-0,006603;0,212414
267;5519,210815;1,721716;-0,003828;0,213960
268;5548,667908;1,724920;-0,006942;0,213912
269;5579,406738;1,734524;-0,007820;0,213942
270;5606,300354;1,740923;-0,006283;0,216165
271;5637,039185;1,748934;-0,003320;0,218515
272;5666,496277;1,753731;-0,007000;0,219937
273;5695,953369;1,761742;-0,008133;0,220561
274;5724,128723;1,768141;-0,007059;0,223355
275;5753,585815;1,774549;-0,007591;0,222805
276;5783,042908;1,780949;-0,006567;0,223470
277;5813,774109;1,787357;-0,007938;0,224236
278;5843,231201;1,795359;-0,005733;0,225805
279;5872,688293;1,801758;-0,006157;0,226730
280;5900,863647;1,806564;-0,007586;0,228784
281;5932,884216;1,814566;-0,004781;0,229220
282;5962,341309;1,822577;-0,003756;0,229927
283;5993,080139;1,828976;-0,006238;0,232131
284;6022,537231;1,835384;-0,008451;0,231946
285;6051,994324;1,841784;-0,006841;0,235352
286;6084,007263;1,848192;-0,007690;0,235395
287;6116,027832;1,854591;-0,006915;0,235665
288;6145,484924;1,862593;-0,008491;0,236492
289;6173,660278;1,869001;-0,009353;0,237869
290;6204,399109;1,875401;-0,007800;0,240439
291;6233,856201;1,881809;-0,008122;0,240163
292;6265,869141;1,886606;-0,013476;0,240820
293;6295,326233;1,896210;-0,008278;0,239494
294;6324,783325;1,902618;-0,013527;0,241666
295;6354,240417;1,909018;-0,007388;0,244537
296;6386,260986;1,915426;-0,008530;0,248743
297;6415,718079;1,920223;-0,008002;0,250241
298;6447,731018;1,929836;-0,012268;0,248874
299;6477,188110;1,936235;-0,007913;0,249469
300;6507,926941;1,942644;-0,009884;0,251818
301;6539,947510;1,950645;-0,010420;0,252527
302;6570,678711;1,955452;-0,006661;0,253040
303;6601,417542;1,961851;-0,008836;0,254487
304;6630,874634;1,966658;-0,007516;0,256579
305;6661,613464;1,973057;-0,011005;0,257612
306;6693,626404;1,981058;-0,010261;0,257757
307;6726,928711;1,987467;-0,009284;0,260231
308;6756,385803;1,995468;-0,007977;0,260146
309;6788,406372;2,001877;-0,010568;0,259842
310;6819,137573;2,006674;-0,008954;0,261108
311;6849,876404;2,014685;-0,009437;0,262307
312;6881,896973;2,021084;-0,011669;0,260972
313;6912,635803;2,029085;-0,011895;0,266808
314;6944,648743;2,035494;-0,008367;0,267344
315;6976,669312;2,041893;-0,008881;0,266927
316;7007,408142;2,048302;-0,003802;0,268640
317;7039,421082;2,054701;-0,009573;0,270502
318;7071,441650;2,061110;-0,007843;0,270728
319;7102,180481;2,069111;-0,010894;0,272838
320;7134,193420;2,075520;-0,010476;0,271423
321;7167,495728;2,081919;-0,011518;0,273813
322;7196,952820;2,089920;-0,008042;0,276713
323;7230,247498;2,096329;-0,009386;0,277499
324;7263,549805;2,102728;-0,009764;0,278773
325;7294,288635;2,109137;-0,008504;0,279694
326;7325,019836;2,115536;-0,006692;0,283946
327;7358,322144;2,121944;-0,008994;0,286729
328;7390,342712;2,128344;-0,012499;0,284438
329;7422,355652;2,137947;-0,012559;0,287054
330;7451,812744;2,142754;-0,012467;0,286509
331;7485,115051;2,149153;-0,009983;0,287813
332;7515,853882;2,153959;-0,009013;0,287296
333;7550,430298;2,161961;-0,012613;0,288643
334;7582,450867;2,169971;-0,008574;0,290760
335;7614,463806;2,176371;-0,011419;0,291097
336;7646,484375;2,182779;-0,015350;0,292569
337;7678,504944;2,189178;-0,013535;0,293298
338;7710,517883;2,197180;-0,007221;0,293945
339;7743,820190;2,201986;-0,011947;0,296724
340;7775,833130;2,208385;-0,013421;0,296709
341;7809,135437;2,213192;-0,009726;0,298603
342;7843,711853;2,222795;-0,011176;0,300445
343;7874,450684;2,227602;-0,011098;0,302502
344;7906,471252;2,235603;-0,010844;0,304014
345;7941,047668;2,242012;-0,011868;0,304756
346;7973,068237;2,248411;-0,009239;0,306862
347;8006,362915;2,256413;-0,013110;0,307501
348;8038,383484;2,262821;-0,010083;0,307979
349;8072,959900;2,267618;-0,016990;0,307691
350;8103,698730;2,277231;-0,011221;0,310038
351;8137,001038;2,283630;-0,011593;0,309543
352;8171,577454;2,290039;-0,014022;0,312461
353;8204,879761;2,294836;-0,012668;0,314478
354;8236,892700;2,301245;-0,011899;0,314999
355;8271,476746;2,309246;-0,012545;0,314988
356;8303,489685;2,315645;-0,014962;0,315061
357;8338,073730;2,323656;-0,010083;0,318230
358;8372,650146;2,328453;-0,014071;0,319487
359;8403,388977;2,336464;-0,013855;0,321106
360;8437,965393;2,342863;-0,015510;0,321887
361;8471,267700;2,349272;-0,017433;0,320954
362;8504,562378;2,358875;-0,013244;0,322019
363;8537,864685;2,363672;-0,011625;0,325560
364;8572,441101;2,370081;-0,017911;0,325304
365;8608,299255;2,376480;-0,015574;0,328672
366;8639,038086;2,382889;-0,013238;0,332194
367;8674,896240;2,390890;-0,012913;0,332658
368;8708,198547;2,395697;-0,014626;0,332881
369;8740,219116;2,405300;-0,011507;0,336435
370;8774,795532;2,410107;-0,013695;0,334401
371;8808,090210;2,416506;-0,011270;0,337189
372;8841,392517;2,424507;-0,014621;0,338654
373;8875,968933;2,427711;-0,012381;0,340395
374;8909,271240;2,435713;-0,012245;0,339010
375;8942,565918;2,440519;-0,014098;0,340846
376;8975,868225;2,446918;-0,016252;0,343749
377;9007,888794;2,454929;-0,016222;0,342961
378;9042,465210;2,462931;-0,011719;0,344197
379;9078,323364;2,469339;-0,014827;0,343827
380;9111,625671;2,475739;-0,012646;0,349486
381;9144,920349;2,482147;-0,017522;0,349325
382;9179,504395;2,490149;-0,017536;0,348369
383;9214,080811;2,496548;-0,013295;0,348073
384;9247,383118;2,502956;-0,017101;0,352104
385;9280,677795;2,507753;-0,007624;0,352990
386;9316,535950;2,517366;-0,017051;0,355813
387;9349,838257;2,522163;-0,011934;0,359826
388;9385,696411;2,528572;-0,016272;0,355049
389;9420,280457;2,536573;-0,009646;0,359106
390;9452,293396;2,544575;-0,008487;0,359860
391;9488,151550;2,549381;-0,018442;0,358113
392;9521,453857;2,557383;-0,013353;0,363767
393;9557,312012;2,562189;-0,014819;0,363014
394;9590,614319;2,570190;-0,014494;0,364167
395;9626,472473;2,578192;-0,013573;0,364208
396;9659,767151;2,582998;-0,012867;0,368317
397;9694,351196;2,591000;-0,015287;0,371569
398;9728,927612;2,595806;-0,016249;0,370974
399;9763,511658;2,602205;-0,011474;0,372267
400;9798,088074;2,610216;-0,012448;0,371935
401;9831,390381;2,616615;-0,013986;0,374692
402;9867,248535;2,623024;-0,013331;0,377158
403;9901,824951;2,629423;-0,016297;0,377498
404;9936,408997;2,637434;-0,016259;0,378527
405;9970,985413;2,642231;-0,011843;0,380238
406;10006,843567;2,651834;-0,015303;0,380657
407;10040,145874;2,656641;-0,015489;0,382041
408;10074,722290;2,663040;-0,016578;0,382963
409;10110,580444;2,672653;-0,015978;0,384963
410;10145,164490;2,677450;-0,015608;0,387916
411;10179,740906;2,682257;-0,016088;0,387179
412;10216,880798;2,690258;-0,012256;0,388220
413;10248,901367;2,696667;-0,014982;0,389708
414;10283,477783;2,703066;-0,015371;0,390451
415;10318,061829;2,709465;-0,015457;0,393201
416;10355,201721;2,715874;-0,014822;0,392581
417;10389,778137;2,723875;-0,013780;0,392841
418;10425,636292;2,728682;-0,017088;0,394289
419;10460,220337;2,738285;-0,015877;0,396185
420;10496,078491;2,743092;-0,016227;0,399647
421;10529,380798;2,749491;-0,015718;0,399586
422;10566,520691;2,757492;-0,016282;0,399479
423;10599,815369;2,765503;-0,014778;0,403004
424;10634,399414;2,770300;-0,018827;0,403793
425;10671,539307;2,776709;-0,016020;0,404406
426;10706,115723;2,784710;-0,017891;0,403761
427;10740,699768;2,789516;-0,010135;0,410310
428;10776,557922;2,795916;-0,018324;0,410506
429;10811,134338;2,802324;-0,014850;0,410847
430;10846,992493;2,810326;-0,017365;0,412831
431;10881,576538;2,816734;-0,012792;0,412555
432;10918,716431;2,823133;-0,019539;0,413815
433;10952,011108;2,832737;-0,017526;0,417286
434;10987,876892;2,837543;-0,014325;0,418443
435;11023,735046;2,842340;-0,022078;0,419491
436;11057,029724;2,850351;-0,018018;0,418657
437;11095,451355;2,856750;-0,017663;0,421230
438;11130,035400;2,863159;-0,016503;0,424127
439;11165,893555;2,871161;-0,017697;0,424428
440;11203,033447;2,877560;-0,015686;0,425221
441;11238,891602;2,883968;-0,019215;0,426781
442;11273,475647;2,891970;-0,022328;0,425487
443;11309,333801;2,898378;-0,014605;0,429906
444;11345,191956;2,903175;-0,017702;0,430228
445;11381,057739;2,911186;-0,015396;0,431907
446;11415,634155;2,915983;-0,018131;0,432639
447;11452,774048;2,920790;-0,015156;0,433464
448;11488,632202;2,928791;-0,019365;0,434097
449;11524,497986;2,936792;-0,015445;0,437361
450;11560,356140;2,943201;-0,016966;0,438859
451;11596,214294;2,948008;-0,015475;0,442263
452;11632,072449;2,956009;-0,017314;0,447016
453;11667,938232;2,964010;-0,021599;0,441120
454;11701,232910;2,970419;-0,022984;0,440640
455;11738,372803;2,976818;-0,017994;0,441402
456;11775,512695;2,984819;-0,019348;0,445116
457;11812,652588;2,991228;-0,017981;0,447464
458;11848,518372;2,996035;-0,019011;0,450222
459;11884,376526;3,004036;-0,019784;0,447718
460;11920,234680;3,010435;-0,018567;0,450398
461;11956,092834;3,016844;-0,019838;0,452369
462;11991,958618;3,023243;-0,017704;0,453502
463;12029,098511;3,029652;-0,018885;0,454921
464;12067,520142;3,037653;-0,018662;0,456523
465;12102,096558;3,044062;-0,018831;0,458905
466;12139,236450;3,050461;-0,020555;0,457244
467;12175,102234;3,056860;-0,019603;0,462325
468;12210,960388;3,063269;-0,018304;0,464177
469;12246,818542;3,071270;-0,018699;0,464253
470;12282,676697;3,079281;-0,017920;0,466855
471;12321,098328;3,084078;-0,020113;0,467612
472;12356,964111;3,090487;-0,017171;0,467353
473;12391,540527;3,098488;-0,017148;0,468291
474;12428,680420;3,104887;-0,020748;0,469288
475;12467,102051;3,111296;-0,018579;0,471025
476;12502,960205;3,117695;-0,020149;0,471634
477;12540,100098;3,124104;-0,017446;0,473961
478;12577,247620;3,130503;-0,020895;0,475526
479;12613,105774;3,136911;-0,021372;0,474653
480;12650,245667;3,144913;-0,019605;0,476916
481;12686,103821;3,151321;-0,021528;0,479324
482;12723,243713;3,154516;-0,017654;0,478685
483;12760,383606;3,162527;-0,021639;0,477743
484;12797,531128;3,170528;-0,020214;0,480899
485;12834,671021;3,173733;-0,021379;0,482175
486;12871,810913;3,183336;-0,023997;0,486096
487;12910,232544;3,191338;-0,022993;0,485566
488;12944,808960;3,196144;-0,021610;0,487250
489;12981,948853;3,204145;-0,020082;0,490773
490;13017,814636;3,208952;-0,022499;0,489018
491;13056,236267;3,216953;-0,023128;0,490018
492;13093,376160;3,224955;-0,014180;0,494431
493;13131,797791;3,231363;-0,020159;0,495826
494;13167,655945;3,236160;-0,018941;0,496545
495;13204,795837;3,244171;-0,022678;0,497232
496;13241,935730;3,250570;-0,019909;0,496566
497;13279,075623;3,258581;-0,022411;0,499683
498;13316,215515;3,263378;-0,021321;0,502100
499;13353,355408;3,269787;-0,023348;0,503788
500;13389,221191;3,277788;-0,014467;0,502839
501;13428,924561;3,284187;-0,020488;0,503933
502;13464,782715;3,292198;-0,020469;0,504340
503;13500,640869;3,298597;-0,021188;0,508097
504;13537,780762;3,305006;-0,017596;0,512658
505;13576,202393;3,311405;-0,020081;0,511338
506;13612,060547;3,316212;-0,026796;0,514619
507;13650,482178;3,324213;-0,021070;0,513030
508;13687,629700;3,330622;-0,027400;0,516085
509;13723,487854;3,337021;-0,018528;0,517424
510;13759,346008;3,345022;-0,018988;0,519056
511;13800,331116;3,349829;-0,021955;0,518914
512;13836,189270;3,356228;-0,022380;0,521341
513;13874,610901;3,365841;-0,022813;0,521119
514;13911,750793;3,370638;-0,020713;0,524912
515;13950,172424;3,378649;-0,025011;0,526318
516;13987,312317;3,385048;-0,022323;0,527686
517;14024,452209;3,389854;-0,022427;0,528580
518;14061,592102;3,396254;-0,021501;0,531020
519;14100,013733;3,404255;-0,009962;0,528966
520;14135,879517;3,409061;-0,021869;0,528573
521;14173,019409;3,417063;-0,021243;0,532121
522;14210,159302;3,423471;-0,026230;0,532218
523;14251,144409;3,429871;-0,021474;0,532822
524;14287,002563;3,434677;-0,028346;0,536954
525;14324,142456;3,442678;-0,022190;0,539212
526;14361,282349;3,449087;-0,023839;0,542266
527;14398,422241;3,457088;-0,022298;0,540976
528;14436,843872;3,463488;-0,020151;0,539861
529;14475,265503;3,469896;-0,023061;0,541533
530;14511,123657;3,474703;-0,018940;0,544936
531;14552,108765;3,482704;-0,023659;0,545345
532;14589,248657;3,490705;-0,023144;0,548470
533;14625,114441;3,497114;-0,023299;0,549680
534;14666,091919;3,503513;-0,022722;0,550254
535;14703,231812;3,511515;-0,021626;0,551614
536;14741,653442;3,516321;-0,021147;0,553829
537;14777,519226;3,522730;-0,020715;0,555869
538;14815,940857;3,530731;-0,023848;0,554700
539;14854,362488;3,538733;-0,025751;0,557038
540;14891,502380;3,543539;-0,023040;0,556054
541;14932,479858;3,551540;-0,021225;0,558897
542;14969,627380;3,557949;-0,026031;0,560577
543;15009,323120;3,564348;-0,023257;0,563456
544;15043,907166;3,570747;-0,024302;0,562932
545;15083,610535;3,577156;-0,024259;0,565587
546;15120,750427;3,585157;-0,025060;0,565989
547;15160,453796;3,589964;-0,023064;0,568306
548;15196,311951;3,597965;-0,025257;0,568161
549;15236,015320;3,604374;-0,025013;0,571456
550;15274,436951;3,610773;-0,022997;0,571687
551;15311,576843;3,618774;-0,022718;0,573892
552;15351,280212;3,623581;-0,022826;0,574208
553;15390,975952;3,628387;-0,024111;0,575726
554;15429,397583;3,636389;-0,022556;0,576731
555;15466,545105;3,642788;-0,026238;0,578492
556;15503,684998;3,650799;-0,023652;0,577698
557;15540,824890;3,655596;-0,022389;0,581549
558;15583,084106;3,662004;-0,027203;0,581662
559;15620,231628;3,670006;-0,021435;0,581427
560;15657,371521;3,674812;-0,024741;0,585675
561;15697,074890;3,684416;-0,028492;0,583676
562;15735,488892;3,690815;-0,024304;0,587254
563;15775,192261;3,695621;-0,022137;0,589837
564;15813,613892;3,703623;-0,025000;0,591255
565;15850,753784;3,711634;-0,021341;0,591993
566;15889,175415;3,714828;-0,028054;0,592015
567;15930,160522;3,721237;-0,029388;0,595030
568;15966,018677;3,729239;-0,024743;0,596859
569;16007,003784;3,734045;-0,019932;0,598144
570;16044,143677;3,742046;-0,024538;0,602380
571;16081,283569;3,748455;-0,023949;0,601252
572;16120,986938;3,756456;-0,025909;0,603227
573;16160,690308;3,762856;-0,022918;0,603878
574;16201,675415;3,769264;-0,022728;0,605170
575;16237,533569;3,774061;-0,023083;0,607047
576;16277,236938;3,783674;-0,026197;0,605956
577;16315,658569;3,790073;-0,027376;0,609505
578;16352,798462;3,796482;-0,025498;0,609416
579;16392,501831;3,802881;-0,023928;0,611360
580;16429,641724;3,809290;-0,028261;0,613330
581;16470,626831;3,817291;-0,024054;0,613663
