Index,Force [N],Crosshead [mm],epsX [%],epsY [%],epsXY []
243,2912.817001,1.565901,-0.174434,-0.341688,-0.046376
244,2918.252945,1.572937,-0.184123,-0.356085,-0.046705
245,2924.009323,1.579332,-0.181061,-0.356738,-0.046897
246,2929.763794,1.586048,-0.188979,-0.354774,-0.047142
247,2935.201645,1.592764,-0.17999,-0.359303,-0.047373
248,2940.637589,1.599798,-0.181238,-0.360179,-0.047699
249,2947.353363,1.606514,-0.17816,-0.361222,-0.047884
250,2953.107834,1.612909,-0.185702,-0.365901,-0.048146
251,2958.545685,1.619305,-0.181421,-0.363536,-0.048392
252,2964.62059,1.626341,-0.184222,-0.365981,-0.048626
253,2969.738007,1.633055,-0.194853,-0.36975,-0.048856
254,2975.17395,1.63945,-0.201325,-0.378658,-0.049087
255,2981.248856,1.646486,-0.192239,-0.373415,-0.049368
256,2987.325668,1.653202,-0.193481,-0.377592,-0.049579
257,2992.12265,1.659277,-0.193427,-0.380342,-0.049876
258,2998.51799,1.666313,-0.193604,-0.37626,-0.050089
259,3003.953934,1.673027,-0.197833,-0.381942,-0.050331
260,3009.710312,1.679743,-0.197953,-0.384153,-0.050598
261,3014.507294,1.68582,-0.20369,-0.385204,-0.050856
262,3019.943237,1.692535,-0.205993,-0.391601,-0.051056
263,3023.460388,1.699249,-0.202264,-0.392683,-0.051328
264,3022.821426,1.705965,-0.209594,-0.399216,-0.051526
265,3028.896332,1.712681,-0.213459,-0.390701,-0.051767
266,3032.413483,1.719397,-0.21005,-0.397417,-0.052057
267,3037.849426,1.726112,-0.204873,-0.389603,-0.052302
268,3044.246674,1.732826,-0.217502,-0.400785,-0.052552
269,3051.280975,1.739542,-0.211128,-0.404195,-0.052825
270,3057.357788,1.745937,-0.21426,-0.407996,-0.053032
271,3064.071655,1.752974,-0.216414,-0.417353,-0.053239
272,3071.107864,1.759369,-0.217829,-0.419365,-0.053495
273,3075.584412,1.766085,-0.220836,-0.40845,-0.053746
274,3082.300186,1.77248,-0.21876,-0.41487,-0.054012
275,3088.375092,1.779514,-0.224095,-0.413702,-0.054236
276,3093.172073,1.78623,-0.226426,-0.417183,-0.054494
277,3097.969055,1.792307,-0.222269,-0.418406,-0.054768
278,3103.725433,1.799021,-0.222323,-0.421966,-0.055009
279,3108.522415,1.806057,-0.225082,-0.421756,-0.055215
280,3113.958359,1.812452,-0.225799,-0.430605,-0.0555
281,3119.714737,1.819168,-0.232067,-0.426293,-0.055721
282,3124.830246,1.826202,-0.235875,-0.432292,-0.055977
283,3129.627228,1.832918,-0.236868,-0.441951,-0.056163
284,3135.063171,1.839634,-0.235168,-0.434492,-0.056433
285,3140.499115,1.846029,-0.231669,-0.433578,-0.056704
286,3145.616531,1.852745,-0.23872,-0.437476,-0.056882
287,3151.052475,1.85914,-0.236177,-0.444325,-0.057177
288,3157.447815,1.866175,-0.241592,-0.443544,-0.057422
289,3162.244797,1.87257,-0.239774,-0.448521,-0.05768
290,3168.001175,1.879606,-0.244432,-0.450267,-0.057934
291,3173.437119,1.886322,-0.243883,-0.453251,-0.058195
292,3177.913666,1.892397,-0.244671,-0.45569,-0.058397
293,3183.670044,1.899433,-0.244433,-0.457784,-0.058673
294,3189.105988,1.906147,-0.244228,-0.461469,-0.058916
295,3194.223404,1.912544,-0.247436,-0.458484,-0.059092
296,3199.338913,1.919258,-0.251506,-0.469109,-0.059413
297,3204.774857,1.926294,-0.252306,-0.470247,-0.059622
298,3209.571838,1.932369,-0.256735,-0.482501,-0.059856
